candidate_id,direction,visual_review_status,rejection_reason
bird_to_cat_12,bird_to_cat,accepted,
bird_to_cat_13,bird_to_cat,rejected,reviewer_rejected_unspecified
bird_to_cat_14,bird_to_cat,accepted,
bird_to_cat_15,bird_to_cat,rejected,reviewer_rejected_unspecified
bird_to_cat_16,bird_to_cat,accepted,
bird_to_cat_17,bird_to_cat,accepted,
bird_to_cat_18,bird_to_cat,accepted,
bird_to_cat_19,bird_to_cat,accepted,
bird_to_cat_20,bird_to_cat,accepted,
bird_to_cat_21,bird_to_cat,accepted,
bird_to_cat_22,bird_to_cat,accepted,
bird_to_cat_23,bird_to_cat,rejected,reviewer_rejected_unspecified
bird_to_cat_24,bird_to_cat,accepted,
cat_to_bird_00,cat_to_bird,accepted,
cat_to_bird_01,cat_to_bird,rejected,reviewer_rejected_unspecified
cat_to_bird_02,cat_to_bird,accepted,
cat_to_bird_03,cat_to_bird,rejected,reviewer_rejected_unspecified
cat_to_bird_04,cat_to_bird,rejected,reviewer_rejected_unspecified
cat_to_bird_05,cat_to_bird,accepted,
cat_to_bird_06,cat_to_bird,accepted,
cat_to_bird_07,cat_to_bird,accepted,
cat_to_bird_08,cat_to_bird,accepted,
cat_to_bird_09,cat_to_bird,accepted,
cat_to_bird_10,cat_to_bird,accepted,
cat_to_bird_11,cat_to_bird,rejected,reviewer_rejected_unspecified
cat_to_bird_12,cat_to_bird,accepted,
cat_to_bird_13,cat_to_bird,accepted,
cat_to_bird_14,cat_to_bird,accepted,
cat_to_bird_15,cat_to_bird,accepted,
cat_to_bird_16,cat_to_bird,accepted,
cat_to_bird_17,cat_to_bird,rejected,reviewer_rejected_unspecified
cat_to_bird_18,cat_to_bird,accepted,
cat_to_bird_19,cat_to_bird,accepted,
cat_to_bird_20,cat_to_bird,accepted,
cat_to_bird_21,cat_to_bird,accepted,
cat_to_bird_22,cat_to_bird,accepted,
cat_to_bird_23,cat_to_bird,accepted,
cat_to_bird_24,cat_to_bird,accepted,
horse_to_dog_00,horse_to_dog,accepted,
horse_to_dog_01,horse_to_dog,rejected,reviewer_rejected_unspecified
horse_to_dog_02,horse_to_dog,accepted,
horse_to_dog_03,horse_to_dog,rejected,reviewer_rejected_unspecified
horse_to_dog_04,horse_to_dog,accepted,
horse_to_dog_05,horse_to_dog,accepted,
horse_to_dog_06,horse_to_dog,accepted,
horse_to_dog_07,horse_to_dog,accepted,
horse_to_dog_08,horse_to_dog,accepted,
horse_to_dog_09,horse_to_dog,accepted,
horse_to_dog_10,horse_to_dog,accepted,
horse_to_dog_11,horse_to_dog,accepted,
horse_to_dog_12,horse_to_dog,accepted,
horse_to_dog_13,horse_to_dog,accepted,
horse_to_dog_14,horse_to_dog,accepted,
horse_to_dog_15,horse_to_dog,rejected,reviewer_rejected_unspecified
horse_to_dog_16,horse_to_dog,rejected,reviewer_rejected_unspecified
horse_to_dog_17,horse_to_dog,accepted,
horse_to_dog_18,horse_to_dog,accepted,
horse_to_dog_19,horse_to_dog,accepted,
horse_to_dog_20,horse_to_dog,accepted,
horse_to_dog_21,horse_to_dog,rejected,reviewer_rejected_unspecified
horse_to_dog_22,horse_to_dog,accepted,
horse_to_dog_23,horse_to_dog,accepted,
horse_to_dog_24,horse_to_dog,accepted,
dog_to_horse_00,dog_to_horse,accepted,
dog_to_horse_01,dog_to_horse,rejected,reviewer_rejected_unspecified
dog_to_horse_02,dog_to_horse,accepted,
dog_to_horse_03,dog_to_horse,accepted,
dog_to_horse_04,dog_to_horse,rejected,reviewer_rejected_unspecified
dog_to_horse_05,dog_to_horse,accepted,
dog_to_horse_06,dog_to_horse,accepted,
dog_to_horse_07,dog_to_horse,accepted,
dog_to_horse_08,dog_to_horse,rejected,reviewer_rejected_unspecified
dog_to_horse_09,dog_to_horse,accepted,
dog_to_horse_10,dog_to_horse,rejected,reviewer_rejected_unspecified
dog_to_horse_11,dog_to_horse,accepted,
dog_to_horse_12,dog_to_horse,accepted,
dog_to_horse_13,dog_to_horse,accepted,
dog_to_horse_14,dog_to_horse,accepted,
dog_to_horse_15,dog_to_horse,accepted,
dog_to_horse_16,dog_to_horse,rejected,reviewer_rejected_unspecified
dog_to_horse_17,dog_to_horse,accepted,
dog_to_horse_18,dog_to_horse,accepted,
dog_to_horse_19,dog_to_horse,accepted,
dog_to_horse_20,dog_to_horse,accepted,
dog_to_horse_21,dog_to_horse,accepted,
dog_to_horse_22,dog_to_horse,accepted,
dog_to_horse_23,dog_to_horse,accepted,
dog_to_horse_24,dog_to_horse,accepted,
bird_to_dog_00,bird_to_dog,accepted,
bird_to_dog_01,bird_to_dog,accepted,
bird_to_dog_02,bird_to_dog,rejected,reviewer_rejected_unspecified
bird_to_dog_03,bird_to_dog,accepted,
bird_to_dog_04,bird_to_dog,accepted,
bird_to_dog_05,bird_to_dog,accepted,
bird_to_dog_06,bird_to_dog,accepted,
bird_to_dog_07,bird_to_dog,rejected,reviewer_rejected_unspecified
bird_to_dog_08,bird_to_dog,accepted,
bird_to_dog_09,bird_to_dog,rejected,reviewer_rejected_unspecified
bird_to_dog_10,bird_to_dog,rejected,reviewer_rejected_unspecified
bird_to_dog_11,bird_to_dog,accepted,
bird_to_dog_12,bird_to_dog,accepted,
bird_to_dog_13,bird_to_dog,rejected,reviewer_rejected_unspecified
bird_to_dog_14,bird_to_dog,accepted,
bird_to_dog_15,bird_to_dog,accepted,
bird_to_dog_16,bird_to_dog,accepted,
bird_to_dog_17,bird_to_dog,accepted,
bird_to_dog_18,bird_to_dog,accepted,
bird_to_dog_19,bird_to_dog,accepted,
bird_to_dog_20,bird_to_dog,accepted,
bird_to_dog_21,bird_to_dog,accepted,
bird_to_dog_22,bird_to_dog,accepted,
bird_to_dog_23,bird_to_dog,accepted,
bird_to_dog_24,bird_to_dog,accepted,
dog_to_bird_00,dog_to_bird,accepted,
dog_to_bird_01,dog_to_bird,accepted,
dog_to_bird_02,dog_to_bird,accepted,
dog_to_bird_03,dog_to_bird,accepted,
dog_to_bird_04,dog_to_bird,rejected,reviewer_rejected_unspecified
dog_to_bird_05,dog_to_bird,accepted,
dog_to_bird_06,dog_to_bird,accepted,
dog_to_bird_07,dog_to_bird,accepted,
dog_to_bird_08,dog_to_bird,accepted,
dog_to_bird_09,dog_to_bird,rejected,reviewer_rejected_unspecified
dog_to_bird_10,dog_to_bird,accepted,
dog_to_bird_11,dog_to_bird,rejected,reviewer_rejected_unspecified
dog_to_bird_12,dog_to_bird,accepted,
dog_to_bird_13,dog_to_bird,accepted,
dog_to_bird_14,dog_to_bird,accepted,
dog_to_bird_15,dog_to_bird,accepted,
dog_to_bird_16,dog_to_bird,accepted,
dog_to_bird_17,dog_to_bird,accepted,
dog_to_bird_18,dog_to_bird,accepted,
dog_to_bird_19,dog_to_bird,accepted,
dog_to_bird_20,dog_to_bird,rejected,reviewer_rejected_unspecified
dog_to_bird_21,dog_to_bird,accepted,
dog_to_bird_22,dog_to_bird,accepted,
dog_to_bird_23,dog_to_bird,accepted,
dog_to_bird_24,dog_to_bird,rejected,reviewer_rejected_unspecified
