candidate_id,direction,content_class,style_class,content_index,style_index,style_crop,slot,review_status,pixel_standard_deviation
dog_to_cat_14,dog_to_cat,dog,cat,3889,89,"[0.18, 0.12, 0.88, 0.88]",14,pending,0.25906055331894706
dog_to_cat_15,dog_to_cat,dog,cat,4547,89,"[0.18, 0.12, 0.88, 0.88]",15,pending,0.22622017748656273
dog_to_cat_16,dog_to_cat,dog,cat,4106,89,"[0.18, 0.12, 0.88, 0.88]",16,pending,0.22568015583693302
dog_to_cat_17,dog_to_cat,dog,cat,4953,89,"[0.18, 0.12, 0.88, 0.88]",17,pending,0.2465285257355253
dog_to_cat_18,dog_to_cat,dog,cat,2334,89,"[0.18, 0.12, 0.88, 0.88]",18,pending,0.24192156029505918
dog_to_cat_19,dog_to_cat,dog,cat,5332,89,"[0.18, 0.12, 0.88, 0.88]",19,pending,0.24658536505160084
dog_to_cat_20,dog_to_cat,dog,cat,6922,89,"[0.18, 0.12, 0.88, 0.88]",20,pending,0.27346035811758324
dog_to_cat_21,dog_to_cat,dog,cat,1552,89,"[0.18, 0.12, 0.88, 0.88]",21,pending,0.21513546266065034
dog_to_cat_22,dog_to_cat,dog,cat,5924,89,"[0.18, 0.12, 0.88, 0.88]",22,pending,0.22911255465821345
dog_to_cat_23,dog_to_cat,dog,cat,2427,89,"[0.18, 0.12, 0.88, 0.88]",23,pending,0.252412179327074
dog_to_cat_24,dog_to_cat,dog,cat,1877,89,"[0.18, 0.12, 0.88, 0.88]",24,pending,0.22989617790843628
deer_to_horse_00,deer_to_horse,deer,horse,3458,48,"[0.18, 0.18, 0.88, 0.92]",0,pending,0.15130908255435316
deer_to_horse_01,deer_to_horse,deer,horse,766,48,"[0.18, 0.18, 0.88, 0.92]",1,pending,0.16941295669715437
deer_to_horse_02,deer_to_horse,deer,horse,3179,48,"[0.18, 0.18, 0.88, 0.92]",2,pending,0.18487079953986918
deer_to_horse_03,deer_to_horse,deer,horse,5135,48,"[0.18, 0.18, 0.88, 0.92]",3,pending,0.21848514341283579
deer_to_horse_04,deer_to_horse,deer,horse,6033,48,"[0.18, 0.18, 0.88, 0.92]",4,pending,0.16323608982326732
deer_to_horse_05,deer_to_horse,deer,horse,691,48,"[0.18, 0.18, 0.88, 0.92]",5,pending,0.14723855107901573
deer_to_horse_06,deer_to_horse,deer,horse,506,48,"[0.18, 0.18, 0.88, 0.92]",6,pending,0.15145010655658428
deer_to_horse_07,deer_to_horse,deer,horse,5623,48,"[0.18, 0.18, 0.88, 0.92]",7,pending,0.16212124763855484
deer_to_horse_08,deer_to_horse,deer,horse,6288,48,"[0.18, 0.18, 0.88, 0.92]",8,pending,0.1256208504043121
deer_to_horse_09,deer_to_horse,deer,horse,1960,48,"[0.18, 0.18, 0.88, 0.92]",9,pending,0.14818074248373847
deer_to_horse_10,deer_to_horse,deer,horse,5062,48,"[0.18, 0.18, 0.88, 0.92]",10,pending,0.16741933107433724
deer_to_horse_11,deer_to_horse,deer,horse,3994,48,"[0.18, 0.18, 0.88, 0.92]",11,pending,0.159499072027679
deer_to_horse_12,deer_to_horse,deer,horse,7944,48,"[0.18, 0.18, 0.88, 0.92]",12,pending,0.14561095541963498
deer_to_horse_13,deer_to_horse,deer,horse,7692,48,"[0.18, 0.18, 0.88, 0.92]",13,pending,0.14859317400190156
deer_to_horse_14,deer_to_horse,deer,horse,171,48,"[0.18, 0.18, 0.88, 0.92]",14,pending,0.16479496965417545
deer_to_horse_15,deer_to_horse,deer,horse,7864,48,"[0.18, 0.18, 0.88, 0.92]",15,pending,0.1374169210829791
deer_to_horse_16,deer_to_horse,deer,horse,1211,48,"[0.18, 0.18, 0.88, 0.92]",16,pending,0.19197334354041065
deer_to_horse_17,deer_to_horse,deer,horse,7940,48,"[0.18, 0.18, 0.88, 0.92]",17,pending,0.1986051332974976
deer_to_horse_18,deer_to_horse,deer,horse,7475,48,"[0.18, 0.18, 0.88, 0.92]",18,pending,0.1786089235485673
deer_to_horse_19,deer_to_horse,deer,horse,2704,48,"[0.18, 0.18, 0.88, 0.92]",19,pending,0.23214640751586516
deer_to_horse_20,deer_to_horse,deer,horse,1429,48,"[0.18, 0.18, 0.88, 0.92]",20,pending,0.181325444599356
deer_to_horse_21,deer_to_horse,deer,horse,4642,48,"[0.18, 0.18, 0.88, 0.92]",21,pending,0.1499750431171177
deer_to_horse_22,deer_to_horse,deer,horse,2399,48,"[0.18, 0.18, 0.88, 0.92]",22,pending,0.15255269727972923
deer_to_horse_23,deer_to_horse,deer,horse,5467,48,"[0.18, 0.18, 0.88, 0.92]",23,pending,0.18339251358447492
deer_to_horse_24,deer_to_horse,deer,horse,6508,48,"[0.18, 0.18, 0.88, 0.92]",24,pending,0.1410072272711569
horse_to_deer_00,horse_to_deer,horse,deer,2610,181,"[0.18, 0.1, 0.88, 0.92]",0,pending,0.15877286765967308
horse_to_deer_01,horse_to_deer,horse,deer,4411,181,"[0.18, 0.1, 0.88, 0.92]",1,pending,0.19163984772428921
horse_to_deer_02,horse_to_deer,horse,deer,3494,181,"[0.18, 0.1, 0.88, 0.92]",2,pending,0.18912399471621252
horse_to_deer_03,horse_to_deer,horse,deer,7779,181,"[0.18, 0.1, 0.88, 0.92]",3,pending,0.1879723891157678
horse_to_deer_04,horse_to_deer,horse,deer,2003,181,"[0.18, 0.1, 0.88, 0.92]",4,pending,0.1822394439134075
horse_to_deer_05,horse_to_deer,horse,deer,5858,181,"[0.18, 0.1, 0.88, 0.92]",5,pending,0.19664138314109816
horse_to_deer_06,horse_to_deer,horse,deer,3292,181,"[0.18, 0.1, 0.88, 0.92]",6,pending,0.18967146378944186
horse_to_deer_07,horse_to_deer,horse,deer,3777,181,"[0.18, 0.1, 0.88, 0.92]",7,pending,0.1779850883534555
horse_to_deer_08,horse_to_deer,horse,deer,6713,181,"[0.18, 0.1, 0.88, 0.92]",8,pending,0.1862953192945516
horse_to_deer_09,horse_to_deer,horse,deer,7108,181,"[0.18, 0.1, 0.88, 0.92]",9,pending,0.1949226791979734
horse_to_deer_10,horse_to_deer,horse,deer,7600,181,"[0.18, 0.1, 0.88, 0.92]",10,pending,0.21263359351180997
horse_to_deer_11,horse_to_deer,horse,deer,5857,181,"[0.18, 0.1, 0.88, 0.92]",11,pending,0.19385579997394692
horse_to_deer_12,horse_to_deer,horse,deer,5382,181,"[0.18, 0.1, 0.88, 0.92]",12,pending,0.19943620128707618
horse_to_deer_13,horse_to_deer,horse,deer,7781,181,"[0.18, 0.1, 0.88, 0.92]",13,pending,0.19471954703426186
horse_to_deer_14,horse_to_deer,horse,deer,4011,181,"[0.18, 0.1, 0.88, 0.92]",14,pending,0.17208871577653595
horse_to_deer_15,horse_to_deer,horse,deer,964,181,"[0.18, 0.1, 0.88, 0.92]",15,pending,0.19991946062980548
horse_to_deer_16,horse_to_deer,horse,deer,5082,181,"[0.18, 0.1, 0.88, 0.92]",16,pending,0.20891539670358666
horse_to_deer_17,horse_to_deer,horse,deer,1534,181,"[0.18, 0.1, 0.88, 0.92]",17,pending,0.17296350490839485
horse_to_deer_18,horse_to_deer,horse,deer,920,181,"[0.18, 0.1, 0.88, 0.92]",18,pending,0.18089367454524857
horse_to_deer_19,horse_to_deer,horse,deer,449,181,"[0.18, 0.1, 0.88, 0.92]",19,pending,0.19156208132126396
horse_to_deer_20,horse_to_deer,horse,deer,1667,181,"[0.18, 0.1, 0.88, 0.92]",20,pending,0.18878741934932217
horse_to_deer_21,horse_to_deer,horse,deer,7996,181,"[0.18, 0.1, 0.88, 0.92]",21,pending,0.18313372219380275
horse_to_deer_22,horse_to_deer,horse,deer,3418,181,"[0.18, 0.1, 0.88, 0.92]",22,pending,0.221283175736794
horse_to_deer_23,horse_to_deer,horse,deer,6381,181,"[0.18, 0.1, 0.88, 0.92]",23,pending,0.19027344003575847
horse_to_deer_24,horse_to_deer,horse,deer,4731,181,"[0.18, 0.1, 0.88, 0.92]",24,pending,0.1884711608267021
bird_to_cat_00,bird_to_cat,bird,cat,2687,89,"[0.18, 0.12, 0.88, 0.88]",0,pending,0.2464489459706329
bird_to_cat_01,bird_to_cat,bird,cat,6169,89,"[0.18, 0.12, 0.88, 0.88]",1,pending,0.25105305848447784
bird_to_cat_02,bird_to_cat,bird,cat,3079,89,"[0.18, 0.12, 0.88, 0.88]",2,pending,0.23036478734272892
bird_to_cat_03,bird_to_cat,bird,cat,2690,89,"[0.18, 0.12, 0.88, 0.88]",3,pending,0.2343322646535974
bird_to_cat_04,bird_to_cat,bird,cat,7033,89,"[0.18, 0.12, 0.88, 0.88]",4,pending,0.20283582599503605
bird_to_cat_05,bird_to_cat,bird,cat,3491,89,"[0.18, 0.12, 0.88, 0.88]",5,pending,0.2245852412784582
bird_to_cat_06,bird_to_cat,bird,cat,825,89,"[0.18, 0.12, 0.88, 0.88]",6,pending,0.23280332509114654
bird_to_cat_07,bird_to_cat,bird,cat,1230,89,"[0.18, 0.12, 0.88, 0.88]",7,pending,0.27499924492000966
bird_to_cat_08,bird_to_cat,bird,cat,6938,89,"[0.18, 0.12, 0.88, 0.88]",8,pending,0.2559879281694712
bird_to_cat_09,bird_to_cat,bird,cat,3413,89,"[0.18, 0.12, 0.88, 0.88]",9,pending,0.23025591675877324
bird_to_cat_10,bird_to_cat,bird,cat,7202,89,"[0.18, 0.12, 0.88, 0.88]",10,pending,0.2476297114218846
bird_to_cat_11,bird_to_cat,bird,cat,1852,89,"[0.18, 0.12, 0.88, 0.88]",11,pending,0.21680646676523666
bird_to_cat_12,bird_to_cat,bird,cat,7029,89,"[0.18, 0.12, 0.88, 0.88]",12,pending,0.250781225429117
bird_to_cat_13,bird_to_cat,bird,cat,304,89,"[0.18, 0.12, 0.88, 0.88]",13,pending,0.21286999378973578
bird_to_cat_14,bird_to_cat,bird,cat,198,89,"[0.18, 0.12, 0.88, 0.88]",14,pending,0.28878882571733183
bird_to_cat_15,bird_to_cat,bird,cat,5220,89,"[0.18, 0.12, 0.88, 0.88]",15,pending,0.26283746407248365
bird_to_cat_16,bird_to_cat,bird,cat,4640,89,"[0.18, 0.12, 0.88, 0.88]",16,pending,0.23257648752948915
bird_to_cat_17,bird_to_cat,bird,cat,5092,89,"[0.18, 0.12, 0.88, 0.88]",17,pending,0.23676968513438
bird_to_cat_18,bird_to_cat,bird,cat,1090,89,"[0.18, 0.12, 0.88, 0.88]",18,pending,0.25204893967617253
bird_to_cat_19,bird_to_cat,bird,cat,1986,89,"[0.18, 0.12, 0.88, 0.88]",19,pending,0.244980280760394
bird_to_cat_20,bird_to_cat,bird,cat,95,89,"[0.18, 0.12, 0.88, 0.88]",20,pending,0.24689801552190424
bird_to_cat_21,bird_to_cat,bird,cat,1436,89,"[0.18, 0.12, 0.88, 0.88]",21,pending,0.22027094205697864
bird_to_cat_22,bird_to_cat,bird,cat,116,89,"[0.18, 0.12, 0.88, 0.88]",22,pending,0.2715588633079104
bird_to_cat_23,bird_to_cat,bird,cat,5123,89,"[0.18, 0.12, 0.88, 0.88]",23,pending,0.22054681189015846
bird_to_cat_24,bird_to_cat,bird,cat,1993,89,"[0.18, 0.12, 0.88, 0.88]",24,pending,0.22093102901019523
cat_to_bird_00,cat_to_bird,cat,bird,7744,21,"[0.2, 0.05, 0.85, 0.9]",0,pending,0.26850857940022954
cat_to_bird_01,cat_to_bird,cat,bird,5528,21,"[0.2, 0.05, 0.85, 0.9]",1,pending,0.274357168487306
cat_to_bird_02,cat_to_bird,cat,bird,1431,21,"[0.2, 0.05, 0.85, 0.9]",2,pending,0.2812473989771981
cat_to_bird_03,cat_to_bird,cat,bird,4881,21,"[0.2, 0.05, 0.85, 0.9]",3,pending,0.2364380840758938
cat_to_bird_04,cat_to_bird,cat,bird,4215,21,"[0.2, 0.05, 0.85, 0.9]",4,pending,0.2667826626213857
cat_to_bird_05,cat_to_bird,cat,bird,7793,21,"[0.2, 0.05, 0.85, 0.9]",5,pending,0.2887722444260252
cat_to_bird_06,cat_to_bird,cat,bird,979,21,"[0.2, 0.05, 0.85, 0.9]",6,pending,0.28492277051476095
cat_to_bird_07,cat_to_bird,cat,bird,4463,21,"[0.2, 0.05, 0.85, 0.9]",7,pending,0.2539773713331177
cat_to_bird_08,cat_to_bird,cat,bird,2754,21,"[0.2, 0.05, 0.85, 0.9]",8,pending,0.2768076018116944
cat_to_bird_09,cat_to_bird,cat,bird,1204,21,"[0.2, 0.05, 0.85, 0.9]",9,pending,0.26615575464922725
cat_to_bird_10,cat_to_bird,cat,bird,4023,21,"[0.2, 0.05, 0.85, 0.9]",10,pending,0.25093355726487765
cat_to_bird_11,cat_to_bird,cat,bird,4168,21,"[0.2, 0.05, 0.85, 0.9]",11,pending,0.3027002087424688
cat_to_bird_12,cat_to_bird,cat,bird,4323,21,"[0.2, 0.05, 0.85, 0.9]",12,pending,0.2747496833304271
cat_to_bird_13,cat_to_bird,cat,bird,4821,21,"[0.2, 0.05, 0.85, 0.9]",13,pending,0.2546627049030796
cat_to_bird_14,cat_to_bird,cat,bird,1263,21,"[0.2, 0.05, 0.85, 0.9]",14,pending,0.2461579567660801
cat_to_bird_15,cat_to_bird,cat,bird,2539,21,"[0.2, 0.05, 0.85, 0.9]",15,pending,0.24716420022082874
cat_to_bird_16,cat_to_bird,cat,bird,4908,21,"[0.2, 0.05, 0.85, 0.9]",16,pending,0.23086238116078098
cat_to_bird_17,cat_to_bird,cat,bird,372,21,"[0.2, 0.05, 0.85, 0.9]",17,pending,0.2867261347857547
cat_to_bird_18,cat_to_bird,cat,bird,1401,21,"[0.2, 0.05, 0.85, 0.9]",18,pending,0.2462528369682837
cat_to_bird_19,cat_to_bird,cat,bird,4531,21,"[0.2, 0.05, 0.85, 0.9]",19,pending,0.23754746133323157
cat_to_bird_20,cat_to_bird,cat,bird,365,21,"[0.2, 0.05, 0.85, 0.9]",20,pending,0.2538974293416038
cat_to_bird_21,cat_to_bird,cat,bird,791,21,"[0.2, 0.05, 0.85, 0.9]",21,pending,0.2833552338829434
cat_to_bird_22,cat_to_bird,cat,bird,1370,21,"[0.2, 0.05, 0.85, 0.9]",22,pending,0.25801496499684007
cat_to_bird_23,cat_to_bird,cat,bird,672,21,"[0.2, 0.05, 0.85, 0.9]",23,pending,0.2521617444968126
cat_to_bird_24,cat_to_bird,cat,bird,1563,21,"[0.2, 0.05, 0.85, 0.9]",24,pending,0.2643358359533667
horse_to_dog_00,horse_to_dog,horse,dog,4254,113,"[0.18, 0.1, 0.88, 0.9]",0,pending,0.15032051731634696
horse_to_dog_01,horse_to_dog,horse,dog,3191,113,"[0.18, 0.1, 0.88, 0.9]",1,pending,0.20559864542037112
horse_to_dog_02,horse_to_dog,horse,dog,3418,113,"[0.18, 0.1, 0.88, 0.9]",2,pending,0.20981478457371694
horse_to_dog_03,horse_to_dog,horse,dog,7779,113,"[0.18, 0.1, 0.88, 0.9]",3,pending,0.19536275377999984
horse_to_dog_04,horse_to_dog,horse,dog,4011,113,"[0.18, 0.1, 0.88, 0.9]",4,pending,0.16473663921334095
horse_to_dog_05,horse_to_dog,horse,dog,3777,113,"[0.18, 0.1, 0.88, 0.9]",5,pending,0.18563973140795334
horse_to_dog_06,horse_to_dog,horse,dog,7781,113,"[0.18, 0.1, 0.88, 0.9]",6,pending,0.19525663074573132
horse_to_dog_07,horse_to_dog,horse,dog,5082,113,"[0.18, 0.1, 0.88, 0.9]",7,pending,0.19580704901312404
horse_to_dog_08,horse_to_dog,horse,dog,920,113,"[0.18, 0.1, 0.88, 0.9]",8,pending,0.16643858225575778
horse_to_dog_09,horse_to_dog,horse,dog,7108,113,"[0.18, 0.1, 0.88, 0.9]",9,pending,0.17486836457815144
horse_to_dog_10,horse_to_dog,horse,dog,929,113,"[0.18, 0.1, 0.88, 0.9]",10,pending,0.19230620889003378
horse_to_dog_11,horse_to_dog,horse,dog,6381,113,"[0.18, 0.1, 0.88, 0.9]",11,pending,0.2007207550354238
horse_to_dog_12,horse_to_dog,horse,dog,964,113,"[0.18, 0.1, 0.88, 0.9]",12,pending,0.21233807967364957
horse_to_dog_13,horse_to_dog,horse,dog,5857,113,"[0.18, 0.1, 0.88, 0.9]",13,pending,0.2083547134604238
horse_to_dog_14,horse_to_dog,horse,dog,545,113,"[0.18, 0.1, 0.88, 0.9]",14,pending,0.19886030264863827
horse_to_dog_15,horse_to_dog,horse,dog,1534,113,"[0.18, 0.1, 0.88, 0.9]",15,pending,0.18872493468266568
horse_to_dog_16,horse_to_dog,horse,dog,7555,113,"[0.18, 0.1, 0.88, 0.9]",16,pending,0.1963456581677531
horse_to_dog_17,horse_to_dog,horse,dog,3494,113,"[0.18, 0.1, 0.88, 0.9]",17,pending,0.19557562812337717
horse_to_dog_18,horse_to_dog,horse,dog,4093,113,"[0.18, 0.1, 0.88, 0.9]",18,pending,0.1913457524704838
horse_to_dog_19,horse_to_dog,horse,dog,3515,113,"[0.18, 0.1, 0.88, 0.9]",19,pending,0.2194929995166073
horse_to_dog_20,horse_to_dog,horse,dog,3844,113,"[0.18, 0.1, 0.88, 0.9]",20,pending,0.18729922719335415
horse_to_dog_21,horse_to_dog,horse,dog,7726,113,"[0.18, 0.1, 0.88, 0.9]",21,pending,0.17786410933184474
horse_to_dog_22,horse_to_dog,horse,dog,3292,113,"[0.18, 0.1, 0.88, 0.9]",22,pending,0.20098720754315297
horse_to_dog_23,horse_to_dog,horse,dog,3962,113,"[0.18, 0.1, 0.88, 0.9]",23,pending,0.20000462254702187
horse_to_dog_24,horse_to_dog,horse,dog,4731,113,"[0.18, 0.1, 0.88, 0.9]",24,pending,0.19104701776850216
dog_to_horse_00,dog_to_horse,dog,horse,3863,48,"[0.18, 0.18, 0.88, 0.92]",0,pending,0.17856077664032713
dog_to_horse_01,dog_to_horse,dog,horse,6414,48,"[0.18, 0.18, 0.88, 0.92]",1,pending,0.1737380238550333
dog_to_horse_02,dog_to_horse,dog,horse,7041,48,"[0.18, 0.18, 0.88, 0.92]",2,pending,0.21305774124729757
dog_to_horse_03,dog_to_horse,dog,horse,7130,48,"[0.18, 0.18, 0.88, 0.92]",3,pending,0.14904503843424194
dog_to_horse_04,dog_to_horse,dog,horse,4290,48,"[0.18, 0.18, 0.88, 0.92]",4,pending,0.15792126330220946
dog_to_horse_05,dog_to_horse,dog,horse,1644,48,"[0.18, 0.18, 0.88, 0.92]",5,pending,0.17427065877028325
dog_to_horse_06,dog_to_horse,dog,horse,4850,48,"[0.18, 0.18, 0.88, 0.92]",6,pending,0.17272392749633544
dog_to_horse_07,dog_to_horse,dog,horse,1877,48,"[0.18, 0.18, 0.88, 0.92]",7,pending,0.16161923626961502
dog_to_horse_08,dog_to_horse,dog,horse,5924,48,"[0.18, 0.18, 0.88, 0.92]",8,pending,0.14875334741729646
dog_to_horse_09,dog_to_horse,dog,horse,2623,48,"[0.18, 0.18, 0.88, 0.92]",9,pending,0.1609261466118608
dog_to_horse_10,dog_to_horse,dog,horse,6358,48,"[0.18, 0.18, 0.88, 0.92]",10,pending,0.1540838945819326
dog_to_horse_11,dog_to_horse,dog,horse,6989,48,"[0.18, 0.18, 0.88, 0.92]",11,pending,0.18149242766133894
dog_to_horse_12,dog_to_horse,dog,horse,7706,48,"[0.18, 0.18, 0.88, 0.92]",12,pending,0.18888210327564117
dog_to_horse_13,dog_to_horse,dog,horse,2766,48,"[0.18, 0.18, 0.88, 0.92]",13,pending,0.20936272132013872
dog_to_horse_14,dog_to_horse,dog,horse,2458,48,"[0.18, 0.18, 0.88, 0.92]",14,pending,0.18732887129573722
dog_to_horse_15,dog_to_horse,dog,horse,6224,48,"[0.18, 0.18, 0.88, 0.92]",15,pending,0.15803495916661975
dog_to_horse_16,dog_to_horse,dog,horse,2265,48,"[0.18, 0.18, 0.88, 0.92]",16,pending,0.16970279022893017
dog_to_horse_17,dog_to_horse,dog,horse,2334,48,"[0.18, 0.18, 0.88, 0.92]",17,pending,0.18691325683680976
dog_to_horse_18,dog_to_horse,dog,horse,319,48,"[0.18, 0.18, 0.88, 0.92]",18,pending,0.20013617712560272
dog_to_horse_19,dog_to_horse,dog,horse,2268,48,"[0.18, 0.18, 0.88, 0.92]",19,pending,0.2141670891148998
dog_to_horse_20,dog_to_horse,dog,horse,7413,48,"[0.18, 0.18, 0.88, 0.92]",20,pending,0.20647331314641676
dog_to_horse_21,dog_to_horse,dog,horse,5496,48,"[0.18, 0.18, 0.88, 0.92]",21,pending,0.18439538609658906
dog_to_horse_22,dog_to_horse,dog,horse,3889,48,"[0.18, 0.18, 0.88, 0.92]",22,pending,0.19617183389217832
dog_to_horse_23,dog_to_horse,dog,horse,645,48,"[0.18, 0.18, 0.88, 0.92]",23,pending,0.15833865276952536
dog_to_horse_24,dog_to_horse,dog,horse,685,48,"[0.18, 0.18, 0.88, 0.92]",24,pending,0.20667540051687286
bird_to_dog_00,bird_to_dog,bird,dog,5123,113,"[0.18, 0.1, 0.88, 0.9]",0,pending,0.176245434621036
bird_to_dog_01,bird_to_dog,bird,dog,1230,113,"[0.18, 0.1, 0.88, 0.9]",1,pending,0.21725370059028273
bird_to_dog_02,bird_to_dog,bird,dog,3079,113,"[0.18, 0.1, 0.88, 0.9]",2,pending,0.1701739034658034
bird_to_dog_03,bird_to_dog,bird,dog,2116,113,"[0.18, 0.1, 0.88, 0.9]",3,pending,0.1751330885551008
bird_to_dog_04,bird_to_dog,bird,dog,2157,113,"[0.18, 0.1, 0.88, 0.9]",4,pending,0.20242021535109497
bird_to_dog_05,bird_to_dog,bird,dog,5256,113,"[0.18, 0.1, 0.88, 0.9]",5,pending,0.1671549296661495
bird_to_dog_06,bird_to_dog,bird,dog,95,113,"[0.18, 0.1, 0.88, 0.9]",6,pending,0.18035716748531813
bird_to_dog_07,bird_to_dog,bird,dog,4640,113,"[0.18, 0.1, 0.88, 0.9]",7,pending,0.1853047297604205
bird_to_dog_08,bird_to_dog,bird,dog,261,113,"[0.18, 0.1, 0.88, 0.9]",8,pending,0.1842455840441146
bird_to_dog_09,bird_to_dog,bird,dog,2690,113,"[0.18, 0.1, 0.88, 0.9]",9,pending,0.18405495790291337
bird_to_dog_10,bird_to_dog,bird,dog,304,113,"[0.18, 0.1, 0.88, 0.9]",10,pending,0.16239274753051852
bird_to_dog_11,bird_to_dog,bird,dog,1115,113,"[0.18, 0.1, 0.88, 0.9]",11,pending,0.21494841953380533
bird_to_dog_12,bird_to_dog,bird,dog,1109,113,"[0.18, 0.1, 0.88, 0.9]",12,pending,0.18966311912451758
bird_to_dog_13,bird_to_dog,bird,dog,7033,113,"[0.18, 0.1, 0.88, 0.9]",13,pending,0.14516491061773854
